id,name,shortName,abbreviation,teamType,location,website,parentLeague,establishedDate,disbandedDate,genus,domain
"79393","American Revolution Roller Derby","American Revolution","ARRD","Travel Team","Virginia Beach, VA","","","2015-10-01","","Womens","USA"
"60314","Ames Roller Derby Association","Ames","ARDA","Travel Team","Ames, IA","http://www.amesrda.com/","","2013-06-04","","Womens","USA"
"87004","AMsports Roller Derby DIJON","Les Flèches Revêches","AMSRD","Travel Team","Dijon, France","http://www.amsports.fr/","","2013-06-01","","Womens","Europe"
"7732","Amsterdam Roller Derby","Amsterdam","ARD","Travel Team","Amsterdam, Netherlands","http://www.amsterdamrollerderby.nl/","","","","Womens","Europe"
"44591","Anarchic Die Hard Derby","","","Home Team","","http://www.bristolrollerderby.com/teams/adhd/","7739","","2015-03-01","Womens","Europe"
"10360","Anchor Assassins","","","Home Team","","","5917","","2014-07-13","Womens","USA"
"9813","Anchor City Rollers","Halifax","ACR","Travel Team","Halifax, NS, Canada","http://www.anchorcityrollers.ca/","","2010-08-01","","Womens","Canada"
"39013","Anchorage Junior Roller Derby","Anchorage Junior","AJRD","Travel Team","Anchorage, AK","https://www.facebook.com/AnchorageJuniorRollerDerby/info","","2012-01-01","","Junior","USA"
"7982","Andromedolls","","","Home Team","","http://www.emeraldcityrollergirls.net/teams/team/Andromedolls/","3465","","2016-02-01","Womens","USA"
"3420","Angel City Derby Girls","Angel City","ACDG","Travel Team","Los Angeles, CA","http://www.angelcityderbygirls.com/","","","","Womens","USA"
"71095","Angel City Junior Derby","Angel City Juniors","ACJD","Travel Team","Los Angeles, CA, USA","http://angelcityderby.com/juniors/","","","","Junior","USA"
"20997","Angel City/LADD Rejects","","","Exhibition Team","","","","","","Womens","USA"
"8845","Angels of Death","","","Home Team","","","3453","","2014-12-31","Womens","USA"
"83268","Anglian Slaughter","","","Exhibition Team","","","","","","Mens","Europe"
"9917","Angry Beavers","","","Home Team","","","9851","","2012-01-01","Womens","Canada"
"32335","Angry Belvoirs","","","Home Team","","","7774","","2014-08-11","Womens","Europe"
"20678","Angry Nerds","","","Home Team","","http://www.helsinkirollerderby.com/teams-refs/angry-nerds/","8114","","2014-05-04","Womens","Europe"
"25833","Animas Roller Girls","Animas","ARG","Travel Team","Farmington, NM","https://www.facebook.com/pages/Animas-Roller-Girls/207469442630219?sk=info","","2011-06-01","2015-08-01","Womens","USA"
"56067","Aniquiladoras","","","B Team","","https://www.facebook.com/AniquiladorasRollerDerby/","13355","","","Womens",""
"67650","Anjou Derby Girls","Anjou","ADG","Travel Team","Angers, France","https://www.facebook.com/AnjouDerbyGirls","","2014-04-28","","Womens","Europe"
"13529","Ann Arbor Derby Dimes","Ann Arbor","A2D2","Travel Team","Ann Arbor, MI","http://www.a2derbydimes.org","","2011-05-01","","Womens","USA"
"49464","Ann Richards Roller Girls","Ann Richards","ARRG","Travel Team","Austin, TX","https://www.facebook.com/pages/ARRG-Ann-Richards-Roller-Girls","","2010-03-05","2014-04-30","Junior","USA"
"37806","Antagonist Roller Derby","Antagonist","ARD","Travel Team","Seattle, WA","","","2013-06-27","2015-11-11","Womens","USA"
"14967","Antihero Derby Alliance","Antihero Derby","ADA","Travel Team","Manassas, VA","http://www.antiheroderby.com/","","2008-01-01","2013-01-01","Womens","USA"
"30420","Apocalipstiks","","","Home Team","","","21378","","","Womens","Australia"
"9536","Apocalypstix","","","Home Team","","http://www.atlantarollergirls.com/site_admin/arg-teams/apocalypstix","3418","2005-01-01","","Womens","USA"
"76600","Appalachian Iron Maidens","Appalachian Iron Maidens","AIM","Travel Team","Ironton, OH","https://www.facebook.com/AppalachianIronMaidens/info/?tab=page_info","","2015-10-01","","Womens","USA"
"7876","Appalachian Rollergirls","Appalachian Rollergirls","ARG","Travel Team","Banner Elk, NC","http://www.appalachianrollergirls.com/","","","","Womens","USA"
"51261","Apple City Plan B","","","B Team","","","18707","","2016-02-01","Womens","USA"
"18707","Apple City Roller Derby","Apple City","ACRD","Travel Team","Wenatchee, WA","http://www.applecityrollerderby.com/","","2010-01-01","","Womens","USA"
"32962","Arbor Bruising Co.","","","B Team","","","13529","","","Womens","USA"
"28394","Arcadia Roller Derby","Arcadia","ARD","Travel Team","Manchester, UK","http://www.arcadiarollerderby.co.uk/","","","2016-02-01","Womens","Europe"
"3433","Arch Rival Roller Derby","Arch Rival","ARCH","Travel Team","St. Louis, MO","http://archrivalrollerderby.com/","","","","Womens","USA"
"18088","Arctic Roller Derby","Arctic","ARD","Travel Team","Tromso, Norway","http://www.arcticrollerderby.com/","","2011-01-01","","Womens","Europe"
"26176","Ardèche rollers girl","Ardèche","ARG","Travel Team","Aubenas, France","http://www.facebook.com/RollerDerbyAubenas","","","","Womens","Europe"
"71575","Arizona Derby Dames","Arizona Derby Dames","AZDD","Travel Team","Phoenix, AZ","http://www.arizonaderbydames.com/","","","","Womens","USA"
"14705","Arizona Men's Derby","Rattleskates","AZMD","Travel Team","Phoenix, AZ","http://www.phxderby.com/","","","","Mens","USA"
"3399","Arizona Roller Derby","Arizona","AZRD","Travel Team","Phoenix, AZ","http://www.azrollerderby.com/","","","","Womens","USA"
"10358","Arizona Roller Derby B Team","","","B Team","","","3399","","2015-06-09","Womens","USA"
"9066","Arizona Rollergirls","Arizona Rollergirls","AZRG","Travel Team","Mesa, AZ","http://www.arizonarollergirls.com/","","2010-01-01","2013-12-08","Womens","USA"
"6737","Ark Valley High Rollers","Ark Valley","AVHR","Travel Team","Salida, CO","http://arkvalleyhighrollers.com/","","","","Womens","USA"
"27189","Arkham Assailants","","","Home Team","","","27179","","","Womens","USA"
"33931","Arkham Horrors","","","Home Team","","http://blog.bostonderbydames.com/teams/arkham-horrors/","3402","2013-06-01","","Womens","USA"
"41326","Armidale Roller Derby","Armidale","ARD","Travel Team","Armidale, NSW, Australia","","","","","Womens","Australia"
"19169","Arnhem Fallen Angels","Arnhem","AFA","Travel Team","Arnhem, Netherlands","http://www.arnhemfallenangels.nl/","","","","Womens","Europe"
"56512","Aroostook Roller Derby","Aroostook","ARD","Travel Team","Aroostook, ME","http://aroostookrollerderby.com/","","2013-11-09","","Womens","USA"
"87444","Arpías Roller Derby","Arpías","ARD","Travel Team","Buenos Aires, Buenos Aires, Argentina","https://www.facebook.com/arpiasrd/","","2015-09-01","","Womens",""
"11290","Ashley Riverdolls","","","Home Team","","http://www.lowcountryhighrollers.com/lowcountry-highroller-teams/ashley-riverdolls/","6738","","","Womens","USA"
"3424","Assassination City Roller Derby","Assassination","ACD","Travel Team","Dallas, TX","http://www.acderby.com/","","","","Womens","USA"
"8118","Assault City Roller Derby","Assault City","SRR","Travel Team","Syracuse, NY","http://assaultcityrollerderby.com/","","2007-01-01","","Womens","USA"
"23681","Assault Rivals","","","Home Team","","","3445","","2009-12-31","Womens","USA"
"25458","Astro Naughties","","","Home Team","","","24503","","2014-08-17","Womens","Australia"
"50885","Astronaughties","","","Home Team","","","7608","","2016-02-01","Womens","USA"
"49275","ASU Roller Derby Club","Arizona State","ASUD","Travel Team","Tempe, AZ","https://www.facebook.com/asurollerderby/info","","2013-09-26","2015-05-01","Coed","USA"
"24178","Asylum City Lunatics","","","Home Team","","","3642","","2009-01-01","Womens","USA"
"54585","Athenas","","","Exhibition Team","","","3446","","","Womens","USA"
"19128","Athens Ohio Roller Derby","Hell Betties","AORD","Travel Team","Athens, OH","http://www.aord.org/","","","","Womens","USA"
"39958","Atlanta Derby Brats","Atlanta Derby Brats","ADB","Travel Team","Atlanta, GA","http://www.atlantaderbybrats.com/","","2009-01-18","2015-11-12","Junior","USA"
"39203","Atlanta Men's Roller Derby","Atlanta Men's","AMRD","Travel Team","Atlanta, GA","http://www.atlantamensrollerderby.com/","","2012-08-19","","Mens","USA"
"3418","Atlanta Rollergirls","Atlanta","ATLRG","Travel Team","Atlanta, GA","http://www.atlantarollergirls.com/","","2006-01-01","","Womens","USA"
"61156","Atlantic Breakers B","","","B Team","","","7770","2015-03-01","","Womens","Europe"
"30904","Atlantic Coast Roller Girls","Atlantic Coast","ACRG","Travel Team","Sewell, NJ","http://www.atlanticcoastrollergirls.com/","","2012-08-28","","Womens","USA"
"23415","Atom Bombs","","","Home Team","","http://www.geelongrollerderby.com/teamprofile/3","23413","","","Womens","Australia"
"87033","Atomic Bombs","","","Exhibition Team","","","68615","2016-10-01","","Womens","New Zealand"
"86991","Atomic Bombs Roller Derby","Atomic Bombs","ABRD","Travel Team","Lanús, Buenos Aires, Argentina","","","2014-03-23","","Womens",""
"9020","Atomic Bombshells","","","Home Team","","http://www.mnrollergirls.com/index.php/teams-staff/atomic-bombshells","3428","","","Womens","USA"
"18372","Atomic City Rollergirls","Atomic City","ACR","Travel Team","Kennewick, WA","http://atomiccityrollergirls.org/","","2007-01-01","","Womens","USA"
"40040","Atomic Cupcakes","Atomic Cupcakes","ACJR","Travel Team","Brighton & Flint, MI","http://www.theatomiccupcakes.com/","","2010-01-01","2015-03-01","Junior","USA"
"44106","Atomic Cupcakes/Skeetown Skirtz Mixed Team","","","Exhibition Team","","","","","2015-03-01","Junior","USA"
"27936","Atomic Playboys","Atomic Playboys","AP","Travel Team","Springfield, MO","","","","2014-06-22","Mens","USA"
"71695","Atomic Sirens","","","Home Team","","","16745","","","Womens","Australia"
"56348","Atomium Kittens","","","B Team","","","20095","2014-09-01","","Womens","Europe"
"11237","Attackonites","","","B Team","","","11236","","","Womens","USA"
"25834","Auburn Gold Diggers Roller Derby","Gold Diggers","AGDRD","Travel Team","Auburn, CA","https://www.facebook.com/AuburnGoldDiggersRollerDerby/info","","2012-02-11","","Womens","USA"
"19661","Auckland Men's Roller Derby","North Island Men's","AMRD","Travel Team","Auckland, New Zealand","https://www.facebook.com/akmensrollerderby/info","","2012-08-31","","Mens","New Zealand"
"15859","Auckland Roller Derby League","Auckland","ARDL","Travel Team","Grey Lynn, Auckland, New Zealand","http://aucklandrollerderby.com/","","2011-07-20","","Womens","New Zealand"
"7384","Audio Assault","","","B Team","","","3636","","","Womens","USA"
"5912","Auld Reekie Roller Girls","Auld Reekie","ARRG","Travel Team","Edinburgh, UK","http://www.arrg.co.uk/","","2008-04-01","","Womens","Europe"
"15073","Aurora 88s Roller Derby","Aurora 88s","A88RD","Travel Team","Aurora, IL","http://aurora88s.com/","","2011-01-01","","Womens","USA"
"65025","Aurora Boriellas Roller Derby","Aurora Boriellas","ABRD","Travel Team","High Level, AB, Canada","http://www.auroraboriellasrollerderby.ca/","","2013-02-01","","Womens","Canada"
"38920","Austin Anarchy Men's Roller Derby","Austin Anarchy","AAMRD","Travel Team","Austin, TX","http://www.austinanarchy.com/","","2013-01-01","","Mens","USA"
"32101","Australian Men's Roller Derby","","","Exhibition Team","","https://www.facebook.com/AustralianMensRollerDerby","","","","Mens","Australia"
"44579","Autoblocks","","","Home Team","","http://crashtestbrummies.co.uk/","17631","","2015-01-01","Mens","Europe"
"54326","Avalanche City Roller Derby Jr.","Avalanche Jr.","ACJR","Travel Team","Fernie, BC, Canada","","","","2015-07-01","Junior","Canada"
"38358","Avalanche City Roller Girls","","","Home Team","","","12627","","2014-01-01","Womens","Canada"
"56893","Avalanche City Roller Girls Home Team","","","Home Team","","","30921","2014-09-01","","Womens","Canada"
"23493","Ave Maria","","","Home Team","","","3432","","2009-12-31","Womens","USA"
"23433","AvengeHers","","","Home Team","","","23432","","2013-11-11","Womens","Australia"
"49430","Avengers","","","Home Team","","","20097","","","Womens","Europe"
"8069","Axles of Annihilation","","","B Team","","http://www.rosecityrollers.com/teams/axles-of-annihilation/","3409","","","Womens","USA"
"25060","Axles of Evil","","","Home Team","","","24503","","2012-01-01","Womens","Australia"
"39316","Ayrshire Roller Derby","Ayrshire","ARD","Travel Team","Irvine, UK","https://www.facebook.com/ayrshirerollerderby","","","","Womens","Europe"
"83356","B Devils","","","B Team","","","32465","2016-07-01","","Womens","USA"
"13952","B Railers","","","B Team","","","7870","","","Womens","USA"
"30418","B Team","","","B Team","","","3465","","2016-01-01","Womens","USA"
"9861","B-52 Bellas","","","Home Team","","","9270","","","Womens","Canada"
"13965","B-52s","","","B Team","","","3467","","2013-01-01","Womens","USA"
"7990","B-Dazzlers","","","B Team","","","4744","","","Womens","USA"
"11183","B-Keepers","","","B Team","","","10395","","","Mens","USA"
"52413","B-Line Activate","","","Exhibition Team","","","9807","","","Womens","Canada"
"28465","B-lo Zero","","","B Team","","","3641","2013-03-09","2015-08-01","Womens","USA"
"14740","B-Sides","","","B Team","","http://www.rocderby.com/bsides.htm#panel-4","5919","","","Womens","USA"
"52314","B-Team","","","B Team","","","20991","","2015-07-01","Womens","Pacific"
"9491","B-Town Battalion","","","Home Team","","","5920","","2009-12-31","Womens","USA"
"7980","B-Unit","","","B Team","","http://www.steelcityderbydemons.com/home/teams/b-unit/","3417","","2012-12-31","Womens","USA"
"18137","B.ADD","","","B Team","","http://amsterdamrollerderby.nl/","7732","","","Womens","Europe"
"11082","B.M.O. Roller Derby Girls","Brest","BMO","Travel Team","Brest, France","http://bmorollerderby.leforum.eu/","","","","Womens","Europe"
"4737","Babe City Rollers","Babe City","BCR","Travel Team","Bemidji, MN","http://www.babecityrollers.com/","","2009-10-01","","Womens","USA"
"9925","Babes of Brutality","","","Home Team","","","9855","","2014-01-01","Womens","Canada"
"8106","Babes of Wrath","","","Home Team","","http://www.montereybayderbydames.org/teams/babes-wrath","8105","","2014-07-20","Womens","USA"
"40933","Baby Brawlers","","","Exhibition Team","","","3641","","","Womens","USA"
"87622","Baby Breakers","","","B Team","","","24782","","","Womens",""
"38113","Babydolls","","","B Team","","","25124","2013-09-01","","Womens","Australia"
"77840","Back Alley Brats","Back Alley Brats","BAB","Travel Team","Billings, MT","https://www.facebook.com/Back-Alley-Brats-146075178814238/info/?tab=page_info","","","","Junior","USA"
"25995","Back Alley Brawlers","","","Home Team","","","8044","2012-01-01","2015-11-11","Womens","USA"
"15408","Back Alley Sallys","","","B Team","","","14800","2012-06-01","","Womens","USA"
"48425","Back Alley Skates","Back Alley","BAS","Travel Team","","","","2014-01-01","","Womens","USA"
"17063","Back Bay Bombshells","","","Home Team","","","3441","","2015-01-11","Womens","USA"
"64195","Back Woods Roller Derby","Back Woods","BWRD","Travel Team","Potter and Tioga, PA","http://www.dirtroaddears.com/","","2013-12-01","","Womens","USA"
"57661","Backlash","","","B Team","","","22848","","","Womens","USA"
"63015","Backlash Bettys","","","Exhibition Team","","","30834","","","Womens","Canada"
"9931","Backseat Betties","","","Home Team","","","9856","","2014-08-24","Womens","Canada"
"43216","Backwoods Bombshells Roller Derby","Backwoods Bombshells","BBRD","Travel Team","Longview, TX","https://www.facebook.com/pages/Backwoods-Bombshells-Roller-Derby/644577278891217?id=644577278891217&sk=info","","2013-04-23","","Womens","USA"
"11448","Backwoods Rollers","","","Home Team","","http://novarollerderby.com/the-team/the-backwoods-rollers/","11446","","2015-12-09","Womens","USA"
"13705","Backyard Bullies","","","B Team","","","3458","","","Womens","USA"
"75250","Bacon Pirates","","","Home Team","","","8729","","","Womens","Canada"
"9885","Bad Apple Betties","","","Home Team","","","9826","","2016-01-01","Womens","Canada"
"7765","Bad Apples","","","Home Team","","","7763","","2015-03-01","Womens","Europe"
"23050","Bad Apples","","","Home Team","","","3431","","","Womens","USA"
"27457","Bad Betties","","","Home Team","","","8133","","2014-05-02","Womens","USA"
"20663","Bad Bunny Rollers Menen","Menen","BBR","Travel Team","Menen, Belgium","http://www.facebook.com/badbunnyrollers","","2011-05-04","2013-04-17","Womens","Europe"
"13191","Bad Company","","","B Team","","","8103","","2012-01-01","Womens","USA"
"24122","Bad MediSin","","","Home Team","","","3449","","2008-12-31","Womens","USA"
"22373","Bad Moon Rollers","","","Home Team","","","14967","","2013-01-01","Womens","USA"
"8076","Bad News Babes","","","Home Team","","","8073","","2014-09-07","Womens","USA"
"9386","Bad News Beaters","","","Home Team","","http://arizonaderbygirls.com/photos/teams/64.html","3399","","2015-11-11","Womens","USA"
"9929","Bad News Betties","","","Home Team","","","9855","","2013-01-01","Womens","Canada"
"10357","Bad News Bs","","","B Team","","","7813","","","Womens","USA"
"15187","Bad Omens","","","Home Team","","","7929","2011-02-19","2015-12-09","Womens","Europe"
"9911","Bad Reputations","","","Home Team","","","4290","","","Womens","Canada"
"54830","BAD TO THE BONE Roller Derby Poznań","BTDB","BTDB","Travel Team","Poznan, Poland","https://www.facebook.com/BADTOTHEBONERollerDerbyPoznan?fref=photo","","","","Womens","Europe"
"54831","BAD TO THE BONE Roller Derby Poznań","BTDB","BTDB","Travel Team","Poznan, Poland","https://www.facebook.com/BADTOTHEBONERollerDerbyPoznan?fref=photo","","","","Womens","Europe"
"58006","Badass Beavers","","","B Team","","","11070","","","Womens","Europe"
"10248","Badasses","","","B Team","","","7947","","","Womens","Europe"
"55712","BADD Intentions","","","B Team","","","25337","2014-08-01","","Womens","USA"
"68614","Badda Bings","","","B Team","","","15858","","","Womens","New Zealand"
"20889","BADGirls n Friends","","","Exhibition Team","","","3404","","","Womens","USA"
"71650","Badlands Hellraisers Roller Derby","Hellraisers","BHRD","Travel Team","Drumheller, AB, Canada","https://www.facebook.com/badlandsrollerderby/?fref=ts","","2015-03-03","","Womens","Canada"
"58645","Bagadingues","","","Exhibition Team","","","","","","Womens","Europe"
"38128","Bairn City Rollers (Co-ed)","Bairn City (Co-ed)","BCR","Travel Team","Falkirk, UK","https://www.facebook.com/BairnCityRollers","","","2014-09-14","Coed","Europe"
"25957","Bairn City Rollers (Men's)","Skelpies","BCR","Travel Team","Falkirk, UK","http://bairncityrollers.co.uk/","","","","Mens","Europe"
"25958","Bairn City Rollers (Women's)","Central Belters","BCR","Travel Team","Falkirk, UK","http://bairncityrollers.co.uk/","","","","Womens","Europe"
"88241","Baja Roller Derby","Baja","BRD","Travel Team","Baja California, Mexico","https://www.facebook.com/BajaRollerDerby/","","2014-02-01","","Womens",""
"12607","Bakersfield Diamond Divas","Diamond Divas","BDD","Travel Team","Bakersfield, CA","http://www.bakersfielddiamonddivas.com/Diamond_Divas/Welcome.html","","2006-04-01","","Womens","USA"
"39014","Bakersfield Junior Roller Derby","Bakersfield Junior","BJRD","Travel Team","Bakersfield, CA","https://www.facebook.com/BakersfieldjrRollerDerby/about","","","","Junior","USA"
